Algorithm,Repetition,List10.txt Time(ns),List10.txt Iterations,List100.txt Time(ns),List100.txt Iterations,List1000.txt Time(ns),List1000.txt Iterations,List10000.txt Times(ns),List10000.txt Iterations,List100000.txt Time(ns),List100000.txt Iterations,List250000.txt Times(ns),List250000.txt Iterations,Avg Time(ns)
Selection Sort,1,700,45,16300,4950,1336193,499500,130938050,49995000,-8645020,704982704,-1128155775,1185103928,-1.67E+08
Selection Sort,2,600,45,16700,4950,1385822,499500,129466957,49995000,557171721,704982704,-309928525,1185103928,6.30E+07
Selection Sort,3,600,45,16400,4950,1407214,499500,129960614,49995000,-69067825,704982704,-1362843155,1185103928,-2.17E+08
Selection Sort,4,600,45,19100,4950,1358708,499500,127953492,49995000,-86758392,704982704,-1082168822,1185103928,-1.73E+08
Selection Sort,5,700,45,16600,4950,1372404,499500,128366942,49995000,-61529009,704982704,-1197405893,1185103928,-1.88E+08
Heap Sort,1,1600,34,19000,631,288100,9596,4181607,129333,49772777,1649005,134618109,4387402,3.15E+07
Heap Sort,2,1300,34,16600,631,244000,9596,3829706,129333,51664880,1649005,137187113,4387402,3.22E+07
Heap Sort,3,1400,34,18700,631,279801,9596,3730605,129333,48554675,1649005,139527114,4387402,3.20E+07
Heap Sort,4,1300,34,16200,631,244000,9596,3786806,129333,48431374,1649005,144124422,4387402,3.28E+07
Heap Sort,5,1200,34,16200,631,244101,9596,3785605,129333,49277276,1649005,134208706,4387402,3.13E+07
Quick Sort,1,700,7,8700,67,122601,678,1485202,6674,22513934,66586,50447778,167493,1.24E+07
Quick Sort,2,500,7,7200,67,106600,678,1539702,6674,23879937,66586,52569981,167493,1.30E+07
Quick Sort,3,500,7,7300,67,106200,678,1531703,6674,22778335,66586,51955480,167493,1.27E+07
Quick Sort,4,700,7,7200,67,106000,678,1487202,6674,22474734,66586,50952778,167493,1.25E+07
Quick Sort,5,500,7,7500,67,106100,678,1541702,6674,23531936,66586,52874181,167493,1.30E+07
